patent_number,sim_patent,contri_patent
AT501760B1,"[""{0: [('4', 0.9263168573379517), ('3', 0.8568772077560425)]}""
 ""{0: [('2', 0.8364025950431824), ('2', 0.8141493797302246), ('2', 0.8377574682235718)]}""]","{'0': 0, '1': 0, '2': 2.4883094429969788, '3': 0.8568772077560425, '4': 0.9263168573379517}"
AU2001294278B2,"[""{0: [('3', 0.9108631014823914), ('3', 0.8906635642051697), ('3', 0.8692038059234619), ('3', 0.8818690180778503)], 1: [('3', 0.871528685092926), ('3', 0.8524293899536133), ('3', 0.8295236825942993), ('3', 0.824500322341919)], 2: [], 3: [], 4: [], 5: []}""]","{'0': 0, '1': 0, '2': 0, '3': 6.930581569671631, '4': 0}"
AU2002245939B2,"[""{0: [('2', 0.8508503437042236), ('4', 0.9067137241363525), ('3', 0.8018370270729065), ('3', 0.8092185258865356), ('2', 0.8145615458488464), ('3', 0.9285324215888977), ('3', 0.8670082092285156)], 1: [('2', 0.8875220417976379), ('2', 0.892753005027771), ('3', 0.8147568702697754), ('3', 0.8352255821228027)], 2: [], 3: [], 4: [], 5: []}""
 ""{0: [('2', 0.8481266498565674), ('4', 0.880432665348053)], 1: [('2', 0.861320436000824)], 2: [], 3: [], 4: [], 5: []}""
 ""{0: [('3', 0.9137243032455444), ('3', 0.866561770439148), ('3', 0.8614398837089539), ('3', 0.8622332811355591)], 1: [('3', 0.893346905708313), ('3', 0.862037181854248), ('3', 0.9231492877006531), ('3', 0.8990014791488647)], 2: [], 3: [], 4: [], 5: []}""
 ""{0: [('3', 0.9018393158912659)], 1: [], 2: [], 3: [], 4: [], 5: []}""
 ""{0: [('3', 0.8939729332923889)], 1: [('3', 0.8705717325210571)], 2: [], 3: [], 4: [], 5: []}""
 ""{0: [('2', 0.7958245277404785), ('0', 0.8039567470550537), ('0', 0.8393483757972717), ('0', 0.8750667572021484), ('2', 0.8266647458076477), ('3', 0.8758887648582458), ('2', 0.8075094223022461), ('3', 0.8692187070846558), ('3', 0.8428385257720947), ('3', 0.8243181705474854)], 1: [('2', 0.8605841398239136), ('0', 0.8702675700187683), ('0', 0.8481812477111816), ('0', 0.8818092346191406), ('2', 0.8960187435150146), ('3', 0.8204597234725952), ('2', 0.8729127645492554), ('3', 0.854181706905365)], 2: [], 3: [], 4: [], 5: []}""
 ""{0: [('3', 0.8761785626411438), ('3', 0.8335683941841125), ('4', 0.858741283416748)], 1: [('3', 0.8922919034957886), ('3', 0.8359652757644653), ('4', 0.8891284465789795)], 2: [], 3: [], 4: [], 5: []}""]","{'0': 5.1186299324035645, '1': 0, '2': 10.214648365974426, '3': 23.329366445541382, '4': 3.535016119480133}"
AU2002254367B2,"[""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [('3', 0.8088959455490112)], 10: [], 11: [], 12: []}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [('2', 0.796044647693634)], 10: [], 11: [], 12: []}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [('2', 0.8009573221206665)], 10: [], 11: [], 12: []}""
 '{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: []}']","{'0': 0, '1': 0, '2': 1.5970019698143005, '3': 0.8088959455490112, '4': 0}"
AU2002254368B2,"[""{0: [('1', 0.8246120810508728), ('2', 0.8447906374931335)], 1: [], 2: [], 3: [], 4: [], 5: [('1', 0.8142198324203491), ('2', 0.7995598316192627)], 6: [], 7: [('1', 0.8408374786376953), ('2', 0.8250411152839661)], 8: [], 9: [('1', 0.8033854961395264), ('2', 0.8226089477539062)], 10: []}""]","{'0': 0, '1': 3.2830548882484436, '2': 3.2920005321502686, '3': 0, '4': 0}"
AU2002367020B2,"[""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('2', 0.8672279715538025), ('3', 0.8644919991493225), ('3', 0.8255768418312073)], 19: [], 20: [('2', 0.8417455554008484), ('3', 0.8225561380386353), ('3', 0.8470277190208435), ('3', 0.7971603274345398)]}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('4', 0.8406690955162048), ('2', 0.8439948558807373), ('0', 0.8128290772438049), ('2', 0.8221047520637512), ('3', 0.8147984147071838)], 19: [], 20: [('4', 0.7941036820411682), ('2', 0.8052492141723633), ('0', 0.8169304728507996), ('3', 0.810871958732605), ('2', 0.8081456422805786), ('3', 0.808781623840332), ('3', 0.794414222240448), ('0', 0.798423171043396)]}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('3', 0.8139085173606873), ('0', 0.7975850701332092), ('2', 0.8113602995872498)], 19: [], 20: [('3', 0.8065852522850037)]}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('2', 0.8610524535179138), ('2', 0.8842936158180237), ('2', 0.8485351204872131)], 19: [('2', 0.8154591917991638)], 20: [('2', 0.8196629881858826)]}""
 ""{0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: [], 16: [], 17: [], 18: [('2', 0.88414067029953), ('2', 0.8938487768173218), ('2', 0.8431679606437683)], 19: [], 20: [('2', 0.814669132232666), ('2', 0.7930966019630432)]}""]","{'0': 3.2257677912712097, '1': 0, '2': 14.257754802703857, '3': 9.006173014640808, '4': 1.634772777557373}"
AU2004261558B2,"[""{0: [('3', 0.851853609085083), ('3', 0.8829314708709717), ('3', 0.8825452327728271)], 1: [('3', 0.8078740239143372), ('3', 0.8463878035545349), ('3', 0.8423594236373901)], 2: [('3', 0.815037190914154), ('3', 0.8538438677787781), ('3', 0.8443789482116699)], 3: [('3', 0.8812808990478516), ('3', 0.8892070651054382), ('3', 0.8854409456253052)]}""
 ""{0: [('2', 0.8868889212608337), ('3', 0.8784421682357788)], 1: [('2', 0.8205069303512573), ('3', 0.8293502330780029)], 2: [('2', 0.8781993389129639), ('3', 0.8898915648460388)], 3: [('2', 0.8942182660102844), ('3', 0.8788555860519409)]}""
 ""{0: [('0', 0.8318193554878235), ('0', 0.8103577494621277), ('2', 0.8084011673927307)], 1: [('0', 0.8194404244422913)], 2: [], 3: [('0', 0.8332672119140625), ('0', 0.8233044147491455)]}""]","{'0': 4.11818915605545, '1': 0, '2': 4.28821462392807, '3': 13.759680032730103, '4': 0}"
AU2004301139B2,['{0: []}'],"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}"
AU2005203047B2,"[""{0: [('3', 0.9152213335037231), ('4', 0.8087477087974548), ('3', 0.9103627800941467)]}""]","{'0': 0, '1': 0, '2': 0, '3': 1.8255841135978699, '4': 0.8087477087974548}"
AU2005279823B2,"[""{0: [('2', 0.8148744702339172), ('4', 0.8048543930053711), ('3', 0.7999099493026733)], 1: [('2', 0.8252896666526794), ('4', 0.8150238990783691), ('3', 0.8117460608482361)], 2: [('4', 0.801071047782898)], 3: [], 4: [('2', 0.8336495161056519), ('4', 0.8733664751052856), ('0', 0.8452983498573303), ('3', 0.8628324866294861)], 5: [('2', 0.8080865144729614), ('4', 0.8029047250747681)], 6: []}""]","{'0': 0.8452983498573303, '1': 0, '2': 3.28190016746521, '3': 2.4744884967803955, '4': 4.097220540046692}"
